sku_id,category_id,period,qty_total
42997394698,672241,2025-03-03,0.4758341335208506
42997397695,672241,2024-11-25,1.9313359750730545
42997397695,672241,2024-12-02,1.931375672184792
42997397695,672241,2024-12-09,1.9314083059065723
42997397695,672241,2024-12-16,1.9314386228036513
42997397695,672241,2024-12-23,1.9314874207838613
42997397695,672241,2024-12-30,1.931532737417771
42997397695,672241,2025-01-06,1.9315566636920467
42997397695,672241,2025-01-13,1.9315592324443083
42997397695,672241,2025-01-20,1.9315399604988448
42997397695,672241,2025-01-27,1.9315011258999797
42997397695,672241,2025-02-03,1.9314365084013296
42997397695,672241,2025-02-10,1.9313744972733435
42997397695,672241,2025-02-17,1.931324641220466
42997397695,672241,2025-02-24,1.9312648691257008
42997397695,672241,2025-03-03,1.9311728290097019
42997399776,672241,2024-11-25,1.620690418857438
42997399776,672241,2024-12-02,1.6206277465687415
42997399776,672241,2024-12-09,1.6206477448340306
42997399776,672241,2024-12-16,1.6207282336146598
42997399776,672241,2024-12-23,1.6208564801859482
42997399776,672241,2024-12-30,1.621016602292841
42997399776,672241,2025-01-06,1.6211865074483975
42997399776,672241,2025-01-13,1.6213621367725102
42997399776,672241,2025-01-20,1.6215144136601993
42997399776,672241,2025-01-27,1.6216524051771974
42997399776,672241,2025-02-03,1.6217615642752623
42997399776,672241,2025-02-10,1.6218374039879184
42997399776,672241,2025-02-17,1.6218917341775216
42997399776,672241,2025-02-24,1.6219147721539313
42997399776,672241,2025-03-03,1.6219131177231667
42997403955,672241,2024-11-25,0.4485130884319734
42997403955,672241,2024-12-02,0.4484978481299489
42997403955,672241,2024-12-09,0.44850501376662527
42997403955,672241,2024-12-16,0.4485258095659506
42997403955,672241,2024-12-23,0.44855375774034195
42997403955,672241,2024-12-30,0.44858130964328835
42997403955,672241,2025-01-06,0.44860422670785915
42997403955,672241,2025-01-13,0.4486160804262516
42997403955,672241,2025-01-20,0.44861339966153563
42997403955,672241,2025-01-27,0.448601157144483
42997403955,672241,2025-02-03,0.4485874119077888
42997403955,672241,2025-02-10,0.44858106635487394
42997403955,672241,2025-02-17,0.44857089223060925
42997403955,672241,2025-02-24,0.4485556268005297
